epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
95,13055.1,0.81583,0.70758,0.98906,0.80576,0.0081388,0.0081388,0.0081388
96,13188.3,0.80716,0.70663,0.98922,0.80599,0.008119,0.008119,0.008119
97,13318.5,0.80186,0.70726,0.98938,0.7978,0.0080992,0.0080992,0.0080992
98,13455.8,0.79471,0.70837,0.98953,0.79694,0.0080794,0.0080794,0.0080794
99,13588.5,0.80027,0.70964,0.98953,0.79626,0.0080596,0.0080596,0.0080596
100,13720.3,0.78142,0.70948,0.98953,0.79406,0.0080398,0.0080398,0.0080398
101,13857.6,0.77397,0.70885,0.98969,0.78961,0.00802,0.00802,0.00802
102,13990.6,0.77416,0.71012,0.98985,0.79744,0.0080002,0.0080002,0.0080002
103,14125.4,0.78292,0.71028,0.98985,0.8002,0.0079804,0.0079804,0.0079804
104,14260.3,0.78979,0.71123,0.98969,0.79575,0.0079606,0.0079606,0.0079606
105,14394.9,0.7714,0.71154,0.98985,0.78964,0.0079408,0.0079408,0.0079408
106,14527.5,0.75966,0.7117,0.98985,0.79299,0.007921,0.007921,0.007921
107,14664.7,0.76812,0.7125,0.98985,0.78616,0.0079012,0.0079012,0.0079012
108,14796.5,0.7614,0.71361,0.98985,0.78851,0.0078814,0.0078814,0.0078814
109,14934.1,0.75663,0.71376,0.98969,0.78921,0.0078616,0.0078616,0.0078616
110,15065,0.7568,0.71408,0.98953,0.78308,0.0078418,0.0078418,0.0078418
111,15200.3,0.73956,0.71472,0.98938,0.79116,0.007822,0.007822,0.007822
112,15336.7,0.74396,0.71519,0.98938,0.78821,0.0078022,0.0078022,0.0078022
113,15470.7,0.73041,0.71583,0.98938,0.78638,0.0077824,0.0077824,0.0077824
114,15604.6,0.7338,0.71646,0.98938,0.7837,0.0077626,0.0077626,0.0077626
115,15737.2,0.73281,0.71583,0.98938,0.78434,0.0077428,0.0077428,0.0077428
116,15870.4,0.73498,0.71757,0.98953,0.78388,0.007723,0.007723,0.007723
117,16004.6,0.72578,0.71741,0.98922,0.7793,0.0077032,0.0077032,0.0077032
118,16144.1,0.73187,0.71916,0.98938,0.77731,0.0076834,0.0076834,0.0076834
119,16271.6,0.71441,0.72122,0.98922,0.77889,0.0076636,0.0076636,0.0076636
120,16405.9,0.70755,0.72169,0.98938,0.77944,0.0076438,0.0076438,0.0076438
121,16540.8,0.72334,0.72201,0.98906,0.78506,0.007624,0.007624,0.007624
122,16673.7,0.71726,0.72217,0.98906,0.77737,0.0076042,0.0076042,0.0076042
123,16808,0.69857,0.72328,0.98874,0.77822,0.0075844,0.0075844,0.0075844
124,16947.2,0.68357,0.72312,0.98874,0.77431,0.0075646,0.0075646,0.0075646
